Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_QJ_BS6-CR2032",140.501100,-105.003600,90.000000,top
"C1","100nF","C_0603_1608Metric",156.251100,-137.003600,90.000000,top
"C2","100nF","C_0603_1608Metric",156.251100,-105.003600,90.000000,top
"C3","100nF","C_0603_1608Metric",156.251100,-73.003600,90.000000,top
"D1","LED","LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount",153.501100,-137.003600,-90.000000,top
"D2","LED","LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount",153.501100,-105.003600,-90.000000,top
"D3","LED","LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount",153.501101,-73.003601,-90.000000,top
"J1","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-131.003600,90.000000,top
"J2","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-143.003600,90.000000,top
"J3","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-99.003600,90.000000,top
"J4","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-111.003600,90.000000,top
"J5","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-67.003600,90.000000,top
"J6","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",165.751100,-79.003600,90.000000,top
"P1","USB_C_6pin","USB_C_Receptacle_Korean_Hroparts-31-M-17",154.751100,-60.543600,180.000000,top
"R1","100","R_0603_1608Metric",149.501100,-139.253600,0.000000,top
"R2","330","R_0603_1608Metric",149.501100,-137.003600,0.000000,top
"R3","100","R_0603_1608Metric",153.501100,-111.253600,0.000000,top
"R4","330","R_0603_1608Metric",153.501100,-109.503600,0.000000,top
"R5","100","R_0603_1608Metric",149.501101,-75.253599,0.000000,top
"R6","330","R_0603_1608Metric",149.501100,-73.003600,0.000000,top
"R7","5.1k","R_0603_1608Metric",153.001100,-67.503600,0.000000,top
"R8","5.1k","R_0603_1608Metric",156.501100,-67.503600,180.000000,top
