Designator,Mid X,Mid Y,Rotation,Layer
BT1,14.0,-56.25,90.0,top
C1,27.75,-80.0,90.0,top
C2,27.75,-48.0,90.0,top
C3,27.75,-16.0,90.0,top
D1,25.0,-80.0,270.0,top
D2,25.0,-48.0,270.0,top
D3,25.000001,-16.000001,270.0,top
J1,37.25,-74.0,90.0,top
J2,37.25,-86.0,90.0,top
J3,37.25,-42.0,90.0,top
J4,37.25,-54.0,90.0,top
J5,37.25,-10.0,90.0,top
J6,37.25,-22.0,90.0,top
P1,28.0,-2.667,180.0,top
R1,29.125,-84.175,90.0,top
R2,26.875,-84.175,90.0,top
R3,29.155,-51.355,90.0,top
R4,27.405,-51.355,90.0,top
R5,29.999999,-19.249999,90.0,top
R6,27.75,-19.25,90.0,top
R7,26.338,-10.5,0.0,top
R8,29.838,-10.5,180.0,top
SW1,1.6,-80.0,270.0,top
SW2,1.6,-48.0,270.0,top
SW3,1.6,-16.0,270.0,top
