Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",143.000000,-109.750000,180.000000,top
"D1","LED","LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount",126.250000,-95.000000,90.000000,top
"D2","LED","LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount",126.250000,-115.000000,90.000000,top
"D3","LED","LED_Everlight_Elec_TR10_ReverseMount",169.500000,-105.000000,-90.000000,top
"J1","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",120.750000,-95.000000,-90.000000,top
"J2","Conn_01x03_Male","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",120.750000,-115.000000,-90.000000,top
"J3","Conn_01x03_Male","Molex_PicoBlade_53048-0310_1x03_P1.25mm_Horizontal",173.300000,-106.250000,90.000000,top
"J4","Conn_01x03_Male","Molex_PicoBlade_53048-0310_1x03_P1.25mm_Horizontal",173.300000,-95.500000,90.000000,top
"R1","560","R_0603_1608Metric",126.250000,-91.500000,0.000000,top
"R2","560","R_0603_1608Metric",126.250000,-111.000000,0.000000,top
"R3","560","R_0603_1608Metric",169.500000,-109.500000,0.000000,top
"U1","74LVC1G08","SOT-23-5",143.377500,-105.984000,0.000000,top
